squad,pl,age,poss,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90
Adana Demirspor,36,29.2,49.5,36,374,3060,34.0,69,51,120,62,7,10,69,7,2.03,1.5,3.53,1.82,3.32
Alanyaspor,29,27.0,53.5,36,374,3060,34.0,47,31,78,42,5,6,73,3,1.38,0.91,2.29,1.24,2.15
Ankaragücü,40,27.2,50.0,36,385,3150,35.0,39,29,68,36,3,5,68,2,1.11,0.83,1.94,1.03,1.86
Antalyaspor,34,28.8,49.1,36,385,3150,35.0,42,27,69,39,3,4,67,6,1.2,0.77,1.97,1.11,1.89
Başakşehir,38,29.0,52.9,36,374,3060,34.0,47,29,76,43,4,5,73,6,1.38,0.85,2.24,1.26,2.12
Beşiktaş,35,28.2,52.8,36,374,3060,34.0,70,49,119,62,8,10,81,4,2.06,1.44,3.5,1.82,3.26
Fatih Karagümrük,34,27.9,48.1,36,374,3060,34.0,69,46,115,61,8,8,82,4,2.03,1.35,3.38,1.79,3.15
Fenerbahçe,29,26.7,59.8,36,374,3060,34.0,80,49,129,65,15,17,76,7,2.35,1.44,3.79,1.91,3.35
Galatasaray,33,27.6,56.9,36,374,3060,34.0,73,49,122,65,8,12,75,4,2.15,1.44,3.59,1.91,3.35
Gaziantep FK,24,28.8,43.8,36,242,1980,22.0,31,23,54,30,1,1,68,3,1.41,1.05,2.45,1.36,2.41
Giresunspor,26,26.8,43.9,36,374,3060,34.0,35,23,58,30,5,7,90,3,1.03,0.68,1.71,0.88,1.56
Hatayspor,28,28.8,49.5,36,231,1890,21.0,19,14,33,17,2,2,51,2,0.9,0.67,1.57,0.81,1.48
İstanbulspor,36,26.0,43.9,36,374,3060,34.0,39,24,63,36,3,3,88,4,1.15,0.71,1.85,1.06,1.76
Kasımpaşa,39,28.6,45.1,36,385,3150,35.0,41,26,67,35,6,6,89,4,1.17,0.74,1.91,1.0,1.74
Kayserispor,28,28.0,51.3,36,374,3060,34.0,49,38,87,43,6,7,61,4,1.44,1.12,2.56,1.26,2.38
Konyaspor,31,28.6,50.6,36,374,3060,34.0,41,28,69,35,6,7,89,5,1.21,0.82,2.03,1.03,1.85
Sivasspor,29,30.5,46.4,36,385,3150,35.0,42,28,70,35,7,7,59,4,1.2,0.8,2.0,1.0,1.8
Trabzonspor,37,27.5,54.8,36,385,3150,35.0,59,30,89,50,9,9,68,5,1.69,0.86,2.54,1.43,2.29
Ümraniyespor,38,29.2,47.1,36,374,3060,34.0,40,22,62,31,9,10,77,5,1.18,0.65,1.82,0.91,1.56
