rk,player,nation,pos,squad,age,born,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,prgr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90,matches
1,Dickson Abiama,ng NGA,FW,Greuther Fürth,22,1998,24,5,726,8.1,0,1,1,0,0,0,3,0,1.8,1.8,1.3,3.2,14,17,38,0.00,0.12,0.12,0.00,0.12,0.23,0.16,0.39,0.23,0.39,Matches
2,Ragnar Ache,de GER,"MF,FW",Eint Frankfurt,23,1998,13,1,259,2.9,0,1,1,0,0,0,0,0,0.4,0.4,0.4,0.9,8,2,29,0.00,0.35,0.35,0.00,0.35,0.14,0.16,0.30,0.14,0.30,Matches
3,Tyler Adams,us USA,MF,RB Leipzig,22,1999,24,12,1351,15.0,0,1,1,0,0,0,5,0,0.2,0.2,0.9,1.0,20,96,23,0.00,0.07,0.07,0.00,0.07,0.01,0.06,0.07,0.01,0.07,Matches
4,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,28,1993,13,2,331,3.7,1,0,1,1,0,0,0,0,0.7,0.7,0.5,1.2,9,9,26,0.27,0.00,0.27,0.27,0.27,0.18,0.14,0.31,0.18,0.31,Matches
5,Amine Adli,ma MAR,"FW,MF",Leverkusen,21,2000,25,13,1256,14.0,3,2,5,3,0,0,3,0,4.3,4.3,2.1,6.4,51,56,105,0.21,0.14,0.36,0.21,0.36,0.31,0.15,0.46,0.31,0.46,Matches
6,Naouirou Ahamada,fr FRA,"MF,DF",Stuttgart,19,2002,3,0,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
7,Manuel Akanji,ch SUI,DF,Dortmund,26,1995,26,25,2261,25.1,1,0,1,1,0,0,3,0,1.9,1.9,0.1,2.0,18,115,8,0.04,0.00,0.04,0.04,0.04,0.08,0.00,0.08,0.08,0.08,Matches
8,Kevin Akpoguma,ng NGA,"DF,FW",Hoffenheim,26,1995,26,19,1527,17.0,2,2,4,2,0,0,5,0,1.2,1.2,2.6,3.8,36,87,40,0.12,0.12,0.24,0.12,0.24,0.07,0.15,0.22,0.07,0.22,Matches
9,Lucas Alario,ar ARG,FW,Leverkusen,28,1992,27,5,655,7.3,6,0,6,6,0,1,2,0,6.0,5.2,1.0,6.2,6,10,44,0.82,0.00,0.82,0.82,0.82,0.82,0.14,0.96,0.71,0.85,Matches
10,Nadiem Amiri,de GER,"MF,FW",Leverkusen,24,1996,13,3,369,4.1,1,0,1,1,0,0,0,0,0.5,0.5,0.3,0.8,17,21,29,0.24,0.00,0.24,0.24,0.24,0.11,0.08,0.19,0.11,0.19,Matches
11,Sebastian Andersson,se SWE,FW,Köln,30,1991,26,13,1257,14.0,3,1,4,3,0,0,3,0,4.5,4.5,1.0,5.5,10,14,86,0.21,0.07,0.29,0.21,0.29,0.32,0.07,0.39,0.32,0.39,Matches
12,Andrés Andrade Cedeño,pa PAN,DF,Arminia,22,1998,17,12,1046,11.6,0,0,0,0,0,0,4,0,0.3,0.3,0.1,0.4,18,44,15,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.04,0.02,0.04,Matches
13,Fredrik André Bjørkan,no NOR,DF,Hertha BSC,22,1998,9,2,353,3.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,11,18,10,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
14,Robert Andrich,de GER,MF,Leverkusen,26,1994,26,21,1817,20.2,4,2,6,4,0,0,5,1,3.2,2.8,1.5,4.3,19,100,27,0.20,0.10,0.30,0.20,0.30,0.16,0.08,0.23,0.14,0.21,Matches
15,Angeliño,es ESP,DF,RB Leipzig,24,1997,29,26,2298,25.5,2,5,7,2,0,0,3,0,1.2,1.2,5.2,6.4,35,73,177,0.08,0.20,0.27,0.08,0.27,0.05,0.20,0.25,0.05,0.25,Matches
16,Waldemar Anton,de GER,DF,Stuttgart,25,1996,29,29,2595,28.8,2,1,3,2,0,0,6,1,2.1,2.1,1.4,3.5,26,108,12,0.07,0.03,0.10,0.07,0.10,0.07,0.05,0.12,0.07,0.12,Matches
