rk,player,nation,pos,squad,age,born,90s,crdy,crdr,2crdy,fls,fld,off,crs,int,tklw,pkwon,pkcon,og,matches
1,Rayane Aabid,fr FRA,MF,Hatayspor,31,1992,2.3,1,0,0,5,4,0,6,2,2,,,1,Matches
2,Mehdi Abeid,dz ALG,"MF,FW",Başakşehir,30,1992,8.9,3,0,0,30,20,4,12,5,10,,,0,Matches
3,Pape Abou Cissé,sn SEN,DF,Adana Demirspor,27,1995,8.0,1,0,0,8,8,0,1,6,4,,,0,Matches
4,Vincent Aboubakar,cm CMR,FW,Beşiktaş,31,1992,11.9,2,0,0,8,15,3,3,1,0,,,0,Matches
5,Giorgi Aburjania,ge GEO,MF,Hatayspor,28,1995,13.9,3,0,0,17,16,0,6,12,10,,,0,Matches
6,Yaw Ackah,gh GHA,MF,Kayserispor,24,1999,9.3,2,0,0,14,7,0,2,9,12,,,0,Matches
7,Bryan Acosta,hn HON,MF,Gaziantep FK,29,1993,0.4,0,0,0,0,0,0,0,1,0,,,0,Matches
8,Youssef Aït Bennasser,ma MAR,MF,Samsunspor,27,1996,21.1,4,0,0,40,11,0,7,29,34,,,0,Matches
9,Albian Ajeti,ch SUI,FW,Gaziantep FK,26,1997,0.7,0,0,0,2,1,1,0,1,0,,,0,Matches
10,Abat Ajymbetow,kz KAZ,FW,Adana Demirspor,27,1995,3.0,0,0,0,4,5,4,0,1,1,,,0,Matches
11,Samet Akaydın,tr TUR,DF,Fenerbahçe,29,1994,6.3,4,0,0,10,2,0,0,13,5,,,0,Matches
12,Emre Akbaba,tr TUR,"MF,FW",Adana Demirspor,30,1992,29.7,5,0,0,32,64,6,75,23,43,,,0,Matches
13,Halil Akbunar,tr TUR,"MF,FW",Pendikspor,29,1993,31.0,3,1,0,40,28,17,115,16,43,,,0,Matches
14,Murat Akça,tr TUR,DF,Pendikspor,33,1990,7.7,2,0,0,14,12,0,0,11,8,,,0,Matches
15,Yusuf Akçiçek,tr TUR,DF,Fenerbahçe,17,2006,0.0,0,0,0,0,0,0,0,1,1,,,0,Matches
16,İbrahim Akdağ,tr TUR,MF,Pendikspor,32,1991,10.4,3,0,0,11,12,1,10,10,9,,,0,Matches
17,İbrahim Akdağ,tr TUR,"MF,DF",Sivasspor,32,1991,8.0,2,1,0,14,13,0,15,2,5,,,0,Matches
18,Yunus Akgün,tr TUR,MF,Galatasaray,23,2000,0.3,0,0,0,0,3,0,0,0,0,,,0,Matches
19,Babajide Akintola,ng NGA,MF,Adana Demirspor,27,1996,10.1,2,0,0,17,15,8,10,3,6,,,0,Matches
20,Babajide Akintola,ng NGA,MF,Rizespor,27,1996,11.4,2,0,0,25,24,7,26,9,13,,,0,Matches
21,Gökhan Akkan,tr TUR,GK,Rizespor,28,1995,30.3,3,0,0,0,6,0,0,0,0,,,0,Matches
22,Efe Akman,tr TUR,MF,Galatasaray,17,2006,0.0,0,0,0,1,0,0,0,0,0,,,0,Matches
23,Engin Aksoy,tr TUR,DF,Hatayspor,19,2003,4.0,1,0,0,5,1,0,8,6,9,,,0,Matches
