rk,player,nation,pos,squad,age,born,mp,starts,min,90s,ga,ga90,sota,saves,save,w,d,l,cs,cs_perf,pkatt,pka,pksv,pkm,save_penalt,matches
17,Clément Diop,sn SEN,GK,CF Montréal,27,1993,8,8,720,8.0,9,1.13,32,23,78.1,2,3,3,3,37.5,2,2,0,0,0.0,Matches
18,Matt Freese,us USA,GK,Philadelphia Union,22,1998,6,6,506,5.6,8,1.42,22,15,63.6,1,4,1,0,0.0,0,0,0,0,,Matches
19,Stefan Frei,ch SUI,GK,Seattle Sounders,34,1986,17,17,1530,17.0,16,0.94,59,44,72.9,9,4,4,4,23.5,1,0,0,1,,Matches
20,Pedro Gallese,pe PER,GK,Orlando City,30,1990,22,22,1980,22.0,30,1.36,96,66,70.8,7,9,6,7,31.8,3,2,1,0,33.3,Matches
21,Adam Grinwis,us USA,GK,Orlando City,28,1992,2,2,180,2.0,5,2.50,7,4,28.6,1,0,1,0,0.0,0,0,0,0,,Matches
22,Brad Guzan,us USA,GK,Atlanta Utd,36,1984,29,29,2610,29.0,29,1.00,127,98,80.3,13,10,6,10,34.5,4,4,0,0,0.0,Matches
23,Bill Hamid,us USA,GK,D.C. United,30,1990,21,21,1816,20.2,28,1.39,87,60,69.0,10,4,7,8,38.1,1,1,0,0,0.0,Matches
24,Thomas Hasal,ca CAN,GK,Vancouver W'caps,21,1999,7,7,630,7.0,14,2.00,34,20,61.8,2,3,2,1,14.3,1,1,0,0,0.0,Matches
25,Clint Irwin,us USA,GK,Colorado Rapids,31,1989,1,1,90,1.0,3,3.00,6,3,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
26,Aljaž Ivačič,si SVN,GK,Portland Timbers,27,1993,5,4,411,4.6,12,2.63,33,21,63.6,1,1,2,0,0.0,0,0,0,0,,Matches
27,Sean Johnson,us USA,GK,NYCFC,31,1989,29,29,2610,29.0,31,1.07,114,84,73.7,11,9,9,9,31.0,1,1,0,0,0.0,Matches
28,Alec Kann,us USA,GK,Atlanta Utd,30,1990,5,5,450,5.0,8,1.60,31,23,77.4,0,2,3,0,0.0,1,1,0,0,0.0,Matches
29,Jon Kempin,us USA,GK,D.C. United,27,1993,10,9,884,9.8,17,1.73,34,18,52.9,3,1,5,1,11.1,1,1,0,0,0.0,Matches
30,Logan Ketterer,us USA,GK,Portland Timbers,27,1993,3,3,270,3.0,3,1.00,12,8,75.0,2,0,1,2,66.7,1,0,1,0,100.0,Matches
31,Jonathan Klinsmann,us USA,GK,LA Galaxy,23,1997,3,3,270,3.0,4,1.33,11,7,63.6,1,1,1,1,33.3,0,0,0,0,,Matches
32,Brad Knighton,us USA,GK,NE Revolution,35,1985,6,6,540,6.0,6,1.00,28,22,78.6,5,0,1,3,50.0,0,0,0,0,,Matches
33,Zac MacMath,us USA,GK,Real Salt Lake,29,1991,7,7,585,6.5,6,0.92,20,14,75.0,2,2,3,2,28.6,1,1,0,0,0.0,Matches
34,J.T. Marcinkowski,us USA,GK,SJ Earthquakes,23,1997,33,33,2970,33.0,53,1.61,179,128,72.1,10,10,13,5,15.2,4,3,1,0,25.0,Matches
35,Marko Marić,hr CRO,GK,Houston Dynamo,25,1996,22,22,1980,22.0,34,1.55,100,68,67.0,3,10,9,3,13.6,2,1,0,1,0.0,Matches
36,Nick Marsman,nl NED,GK,Inter Miami,30,1990,22,22,1919,21.3,33,1.55,99,67,68.7,9,3,10,5,22.7,3,2,1,0,33.3,Matches
37,Jimmy Maurer,us USA,GK,FC Dallas,32,1988,24,24,2130,23.7,37,1.56,112,74,70.5,5,8,11,3,12.5,6,4,2,0,33.3,Matches
38,John McCarthy,us USA,GK,Inter Miami,28,1992,13,12,1141,12.7,20,1.58,55,35,65.5,3,2,7,2,16.7,1,1,0,0,0.0,Matches
39,Phelipe Megiolaro,br BRA,GK,FC Dallas,21,1999,11,10,930,10.3,19,1.84,55,36,72.7,2,4,4,1,10.0,4,4,0,0,0.0,Matches
40,Tim Melia,us USA,GK,Sporting KC,34,1986,28,28,2520,28.0,33,1.18,100,67,69.0,14,6,8,7,25.0,2,2,0,0,0.0,Matches
41,Tyler Miller,us USA,GK,Minnesota Utd,27,1993,30,30,2700,30.0,34,1.13,133,100,77.4,13,10,7,11,36.7,5,4,1,0,20.0,Matches
42,Kyle Morton,us USA,GK,Houston Dynamo,26,1994,1,1,90,1.0,2,2.00,6,4,66.7,0,0,1,0,0.0,0,0,0,0,,Matches
43,Michael Nelson,us USA,GK,Houston Dynamo,25,1995,11,11,990,11.0,18,1.64,48,31,68.8,3,2,6,2,18.2,3,3,0,0,0.0,Matches
44,David Ochoa,us USA,GK,Real Salt Lake,20,2001,25,25,2250,25.0,40,1.60,120,81,68.3,11,4,10,5,20.0,3,2,1,0,33.3,Matches
45,James Pantemis,ca CAN,GK,CF Montréal,23,1997,18,18,1620,18.0,27,1.50,81,56,69.1,7,5,6,3,16.7,2,2,0,0,0.0,Matches
46,John Pulskamp,us USA,GK,Sporting KC,19,2001,6,6,540,6.0,7,1.17,20,13,65.0,3,1,2,1,16.7,0,0,0,0,,Matches
47,Andrew Putna,us USA,GK,Real Salt Lake,26,1994,3,2,225,2.5,8,3.20,12,5,33.3,1,0,1,0,0.0,0,0,0,0,,Matches
48,Spencer Richey,us USA,GK,Seattle Sounders,28,1992,2,2,180,2.0,0,0.00,5,5,100.0,2,0,0,2,100.0,0,0,0,0,,Matches
49,Tomas Romero,sv SLV,GK,LAFC,20,2000,18,18,1620,18.0,28,1.56,61,33,54.1,7,3,8,4,22.2,0,0,0,0,,Matches
50,Eloy Room,cw CUW,GK,Columbus Crew,31,1989,30,30,2700,30.0,39,1.30,122,83,71.3,11,7,12,7,23.3,5,4,0,1,0.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
51,Chris Seitz,us USA,GK,D.C. United,33,1987,4,4,360,4.0,9,2.25,17,11,47.1,1,0,3,0,0.0,0,0,0,0,,Matches
52,Bobby Shuttleworth,us USA,GK,Chicago Fire,33,1987,23,23,2070,23.0,38,1.65,109,73,67.9,6,4,13,4,17.4,3,3,0,0,0.0,Matches
53,Pablo Sisniega,mx MEX,GK,LAFC,25,1995,8,8,720,8.0,10,1.25,24,14,58.3,2,3,3,1,12.5,0,0,0,0,,Matches
54,Gaga Slonina,us USA,GK,Chicago Fire,16,2004,11,11,990,11.0,16,1.45,60,44,75.0,3,3,5,4,36.4,2,1,1,0,50.0,Matches
55,Dayne St. Clair,ca CAN,GK,Minnesota Utd,23,1997,4,4,360,4.0,10,2.50,21,10,52.4,0,0,4,0,0.0,1,0,1,0,100.0,Matches
56,Mason Stajduhar,us USA,GK,Orlando City,23,1997,5,5,450,5.0,5,1.00,15,10,66.7,2,3,0,1,20.0,0,0,0,0,,Matches
57,Brad Stuver,us USA,GK,Austin,29,1991,33,33,2970,33.0,53,1.61,188,135,72.9,9,4,20,5,15.2,3,2,1,0,33.3,Matches
58,Hunter Sulte,us USA,GK,Portland Timbers,18,2002,2,1,113,1.3,5,3.98,8,3,37.5,0,0,1,0,0.0,0,0,0,0,,Matches
59,Andrew Tarbell,us USA,GK,Austin,27,1993,1,1,90,1.0,3,3.00,5,2,40.0,0,0,1,0,0.0,0,0,0,0,,Matches
60,Matt Turner,us USA,GK,NE Revolution,26,1994,28,28,2520,28.0,35,1.25,135,99,75.6,17,7,4,5,17.9,4,2,2,0,50.0,Matches
61,Przemysław Tytoń,pl POL,GK,FC Cincinnati,34,1987,15,14,1286,14.3,35,2.45,88,53,61.4,1,2,11,2,14.3,1,1,0,0,0.0,Matches
62,Kenneth Vermeer,nl NED,GK,FC Cincinnati,35,1986,19,19,1684,18.7,34,1.82,91,57,63.7,3,6,10,4,21.1,1,1,0,0,0.0,Matches
63,Quentin Westberg,us USA,GK,Toronto FC,34,1986,10,10,900,10.0,22,2.20,57,35,63.2,0,3,7,0,0.0,1,1,0,0,0.0,Matches
64,Joe Willis,us USA,GK,Nashville SC,32,1988,34,34,3060,34.0,33,0.97,131,99,77.9,12,18,4,13,38.2,5,4,1,0,20.0,Matches
65,William Yarbrough,us USA,GK,Colorado Rapids,31,1989,33,33,2970,33.0,32,0.97,137,106,77.4,17,10,6,13,39.4,1,1,0,0,0.0,Matches
