rk,player,nation,pos,squad,age,born,90s,crdy,crdr,2crdy,fls,fld,off,crs,int,tklw,pkwon,pkcon,og,matches
1,Vincent Aboubakar,cm CMR,FW,Hatayspor,32,1992,21.9,3,0,0,15,19,14,2,1,1,,,0,Matches
2,Yaw Ackah,gh GHA,MF,Kayserispor,25,1999,5.1,1,0,0,6,6,0,0,7,13,,,0,Matches
3,Rüzgar Adıyaman,,GK,BB Bodrumspor,17,2006,1.0,0,0,0,0,0,0,0,0,0,,,0,Matches
4,Youssef Aït Bennasser,ma MAR,MF,Samsunspor,28,1996,27.3,6,0,0,43,21,0,5,34,35,,,0,Matches
5,Arlind Ajeti,al ALB,DF,BB Bodrumspor,30,1993,28.1,6,0,0,21,4,0,4,41,29,,,0,Matches
6,Abat Ajymbetow,kz KAZ,FW,Adana Demirspor,28,1995,15.0,5,0,0,17,19,15,3,3,5,,,0,Matches
7,Samet Akaydın,tr TUR,DF,Fenerbahçe,30,1994,4.2,3,0,0,7,0,0,0,9,5,,,0,Matches
8,Samet Akaydın,tr TUR,DF,Rizespor,30,1994,11.1,5,1,1,16,4,1,0,26,9,,,1,Matches
9,Emre Akbaba,tr TUR,MF,Eyüpspor,31,1992,24.5,3,0,0,23,46,11,63,15,36,,,0,Matches
10,Halil Akbunar,tr TUR,MF,Eyüpspor,30,1993,13.6,3,0,0,24,15,5,22,6,22,,,0,Matches
11,Yusuf Akçiçek,tr TUR,DF,Fenerbahçe,18,2006,4.6,0,0,0,3,3,0,1,7,6,,,0,Matches
12,Yunus Akgün,tr TUR,MF,Galatasaray,24,2000,23.4,4,0,0,16,11,4,41,13,10,,,0,Matches
13,Babajide Akintola,ng NGA,MF,Rizespor,28,1996,23.9,7,0,0,42,46,12,57,7,19,,,0,Matches
14,Gökhan Akkan,tr TUR,GK,BB Bodrumspor,29,1995,3.3,0,0,0,0,1,0,0,0,0,,,0,Matches
15,Gökhan Akkan,tr TUR,GK,Rizespor,29,1995,4.0,0,0,0,0,0,0,0,0,0,,,0,Matches
16,Efe Akman,tr TUR,MF,Galatasaray,18,2006,0.2,0,0,0,1,0,0,0,2,1,,,0,Matches
17,Hamza Akman,tr TUR,MF,Eyüpspor,19,2004,1.1,0,0,0,2,9,0,2,0,2,,,0,Matches
18,Deniz Aksoy,,FW,Hatayspor,17,2007,0.4,0,0,0,0,0,2,0,0,0,,,0,Matches
19,Fatih Aksoy,tr TUR,"DF,MF",Alanyaspor,26,1997,17.5,4,0,0,32,25,1,3,12,24,,,0,Matches
20,Oğuzhan Aksoy,,MF,Sivasspor,17,2006,0.6,0,0,0,2,3,0,0,2,1,,,0,Matches
21,Adnan Aktas,,DF,Kasımpaşa,17,2006,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
22,Aksel Aktas,tr TUR,"MF,DF",Adana Demirspor,25,1999,4.5,4,0,0,12,6,0,8,5,14,,,0,Matches
23,Kerem Aktürkoğlu,tr TUR,MF,Galatasaray,25,1998,1.9,0,0,0,0,3,1,6,0,0,,,0,Matches
24,Kaan Akyazi,,FW,Konyaspor,18,2005,0.6,0,0,0,2,1,0,0,0,1,,,0,Matches
25,Ufuk Akyol,de GER,MF,Konyaspor,26,1997,2.7,0,0,0,2,2,0,0,2,3,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
26,Danijel Aleksić,rs SRB,MF,Konyaspor,33,1991,17.6,5,0,0,17,14,4,15,8,15,,,0,Matches
27,Hasan Ali Kaldırım,tr TUR,"DF,MF",Kayserispor,34,1989,17.7,4,0,0,8,11,3,92,10,17,,,0,Matches
28,Muhammet Ali Özbaskıcı,tr TUR,MF,Samsunspor,18,2005,0.1,0,0,0,1,0,0,0,0,3,,,0,Matches
29,Ömer Ali Şahiner,tr TUR,"DF,MF",Başakşehir,32,1992,16.3,6,0,0,15,9,2,21,10,13,,,0,Matches
30,Kerim Alıcı,tr TUR,DF,Hatayspor,27,1997,10.7,1,0,0,6,7,0,15,11,12,,,0,Matches
31,Nabil Alioui,fr FRA,"MF,FW",Adana Demirspor,25,1999,17.9,0,0,0,14,25,5,75,8,4,,,0,Matches
32,Xusniddin Aliqulov,uz UZB,"DF,MF",Rizespor,25,1999,29.3,6,0,0,30,10,0,5,47,21,,,2,Matches
33,Fidan Aliti,xk KVX,DF,Alanyaspor,30,1993,33.8,9,0,0,52,45,1,11,44,48,,,1,Matches
34,Sinan Alkaş,,FW,Kasımpaşa,17,2006,0.3,0,0,0,2,1,0,0,0,0,,,0,Matches
35,Barış Alper Yılmaz,tr TUR,MF,Galatasaray,24,2000,28.9,9,0,0,65,48,4,105,20,25,,,0,Matches
36,Taha Altıkardeş,tr TUR,DF,Göztepe,20,2003,15.4,3,0,0,16,5,0,25,29,10,,,0,Matches
37,Sofyan Amrabat,ma MAR,MF,Fenerbahçe,27,1996,19.9,9,0,0,29,15,0,12,16,11,,,0,Matches
38,Seyfettin Anıl Yaşar,tr TUR,DF,Rizespor,22,2002,2.5,0,0,0,0,0,0,0,5,1,,,0,Matches
39,Taylan Antalyalı,tr TUR,MF,BB Bodrumspor,29,1995,20.6,2,0,0,18,26,0,9,29,24,,,0,Matches
40,Ali Arda Yildiz,,DF,Adana Demirspor,17,2007,1.2,0,0,0,2,0,0,0,0,2,,,0,Matches
41,Keny Arroyo,ec ECU,MF,Beşiktaş,18,2006,2.6,0,0,0,1,3,1,24,0,1,,,0,Matches
42,Burak Arslan,,FW,Kayserispor,19,2005,0.3,0,0,0,0,0,0,0,0,0,,,0,Matches
43,Ömürcan Artan,,DF,Gaziantep FK,25,1999,6.8,1,0,0,5,5,1,16,13,11,,,0,Matches
44,Serkan Asan,tr TUR,DF,Trabzonspor,25,1999,1.0,0,0,0,0,0,0,2,1,2,,,0,Matches
45,Ahmet Aslan,,MF,BB Bodrumspor,23,2001,13.2,2,0,0,17,19,0,6,17,18,,,0,Matches
46,Loide Augusto,ao ANG,"MF,FW",Alanyaspor,24,2000,16.5,6,1,1,25,28,8,33,3,14,,,0,Matches
47,Fahri Ay,tr TUR,MF,Beşiktaş,19,2005,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
48,Ersin Aydemir,,FW,Hatayspor,18,2006,0.1,0,0,0,0,0,0,1,0,0,,,0,Matches
49,Eyüp Aydın,tr TUR,MF,Galatasaray,19,2004,0.1,0,0,0,1,1,0,0,0,0,,,0,Matches
50,Oğuz Aydın,tr TUR,MF,Fenerbahçe,23,2000,17.5,1,0,0,15,14,3,97,14,21,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
51,Taylan Aydın,tr TUR,DF,Kasımpaşa,18,2006,3.5,0,0,0,5,3,0,1,2,2,,,0,Matches
52,Tayfun Aydoğan,,MF,Adana Demirspor,28,1996,25.1,9,0,0,25,29,1,54,30,19,,,0,Matches
53,Soner Aydoğdu,tr TUR,MF,Samsunspor,33,1991,7.3,1,0,0,10,6,3,23,4,9,,,0,Matches
54,Kaan Ayhan,tr TUR,"DF,MF",Galatasaray,29,1994,19.2,6,0,0,17,11,4,34,16,24,,,0,Matches
55,Ali Aytemur,tr TUR,DF,BB Bodrumspor,28,1996,31.0,3,0,0,21,14,0,0,27,18,,,0,Matches
56,Ousseynou Ba,sn SEN,DF,Başakşehir,28,1995,18.3,8,1,0,43,10,0,0,27,23,,,0,Matches
57,Mame Baba Thiam,sn SEN,FW,Eyüpspor,31,1992,30.7,8,0,0,43,20,29,18,13,14,,,0,Matches
58,Halil Bağcı,,GK,Gaziantep FK,21,2003,1.0,0,0,0,0,0,0,0,0,0,,,0,Matches
59,Stéphane Bahoken,cm CMR,FW,Kayserispor,32,1992,11.3,4,2,1,29,27,5,5,3,4,,,0,Matches
60,Bünyamin Balat,de GER,"MF,DF",Adana Demirspor,27,1997,17.6,1,0,0,7,37,0,47,8,21,,,0,Matches
61,Bünyamin Balcı,tr TUR,DF,Antalyaspor,24,2000,15.1,2,0,0,11,14,1,25,25,27,,,0,Matches
62,Keita Baldé,sn SEN,"MF,FW",Sivasspor,29,1995,4.9,5,1,1,3,16,4,9,1,1,,,0,Matches
63,Jure Balkovec,si SVN,DF,Alanyaspor,29,1994,19.2,5,0,0,14,16,0,126,19,12,,,0,Matches
64,Metehan Baltacı,tr TUR,DF,Galatasaray,21,2002,2.9,0,1,0,6,1,0,1,4,1,,,0,Matches
65,Funsho Bamgboye,ng NGA,MF,Hatayspor,25,1999,16.8,7,0,0,34,22,9,33,18,27,,,0,Matches
66,Simon Banza,cd COD,FW,Trabzonspor,27,1996,28.3,5,0,0,62,44,7,6,10,6,,,0,Matches
67,Antonín Barák,cz CZE,MF,Kasımpaşa,29,1994,9.3,2,0,0,7,8,0,12,4,1,,,0,Matches
68,Yusuf Barasi,tr TUR,"FW,MF",Adana Demirspor,21,2003,25.3,1,1,0,25,42,8,16,11,10,,,0,Matches
69,Abdülkerim Bardakcı,tr TUR,DF,Galatasaray,29,1994,30.6,4,0,0,26,19,2,20,50,25,,,0,Matches
70,Enis Bardhi,mk MKD,"MF,FW",BB Bodrumspor,29,1995,11.0,1,0,0,12,22,4,54,2,7,,,0,Matches
71,Enis Bardhi,mk MKD,MF,Trabzonspor,29,1995,4.1,1,0,0,3,11,0,27,1,5,,,0,Matches
72,Borna Barišić,hr CRO,DF,Trabzonspor,31,1992,1.5,0,0,0,0,5,0,10,2,1,,,0,Matches
73,Boran Başkan,tr TUR,MF,Trabzonspor,18,2006,0.3,0,0,0,1,1,0,2,0,0,,,0,Matches
74,Emrah Başsan,tr TUR,"MF,FW",Sivasspor,32,1992,8.9,1,0,0,7,18,0,48,2,6,,,0,Matches
75,Emirhan Başyiğit,tr TUR,DF,Sivasspor,19,2005,6.2,0,0,0,2,4,0,2,5,4,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
76,Arsenii Batahov,ua UKR,DF,Trabzonspor,22,2002,18.0,1,0,0,11,2,1,1,31,18,,,2,Matches
77,Michy Batshuayi,be BEL,FW,Galatasaray,30,1993,4.5,1,0,0,7,1,6,3,2,2,,,0,Matches
78,Bilal Bayazit,nl NED,GK,Kayserispor,25,1999,25.0,4,0,0,1,7,0,0,0,0,,,0,Matches
79,Furkan Bayır,tr TUR,DF,Alanyaspor,24,2000,2.5,0,0,0,1,3,0,0,2,0,,,0,Matches
80,Furkan Bayır,tr TUR,DF,Göztepe,24,2000,7.1,2,0,0,16,7,1,5,9,7,,,0,Matches
81,Ogün Bayrak,,MF,Göztepe,25,1998,18.3,4,1,1,24,12,0,70,22,31,,,0,Matches
82,Gökdeniz Bayrakdar,tr TUR,"MF,FW",BB Bodrumspor,22,2001,17.0,4,0,0,29,16,6,19,5,20,,,0,Matches
83,Riechedly Bazoer,cw CUW,"DF,MF",Konyaspor,27,1996,21.3,8,0,0,24,14,0,5,16,12,,,0,Matches
84,Rodrigo Becão,br BRA,DF,Fenerbahçe,28,1996,6.8,1,0,0,12,4,0,3,3,5,,,0,Matches
85,Visar Bekaj,xk KVX,GK,Hatayspor,27,1997,15.0,2,0,0,0,6,0,0,0,0,,,0,Matches
86,Efkan Bekiroğlu,,"MF,FW",Sivasspor,28,1995,11.8,1,0,0,5,13,1,27,1,6,,,0,Matches
87,Mortadha Ben Ouanes,tn TUN,"MF,DF",Kasımpaşa,30,1994,28.1,10,0,0,45,40,11,69,26,29,,,0,Matches
88,Jan Biegański,pl POL,MF,Sivasspor,21,2002,4.0,3,0,0,12,3,1,3,2,8,,,0,Matches
89,Ege Bilsel,,"DF,MF",BB Bodrumspor,20,2004,13.2,4,1,1,8,16,1,13,20,20,,,0,Matches
90,Tayfur Bingöl,tr TUR,"MF,DF",Eyüpspor,31,1993,20.1,3,1,1,30,15,3,17,12,28,,,0,Matches
91,Muhammed Birkan Tetik,,GK,Eyüpspor,28,1995,2.5,0,0,0,0,1,0,0,0,1,,,0,Matches
92,Godfrey Bitok,ng NGA,DF,Gaziantep FK,23,2000,1.3,0,0,0,1,0,0,5,1,0,,,0,Matches
93,Morten Bjørlo,no NOR,MF,Konyaspor,28,1995,3.3,0,0,0,7,4,0,11,6,2,,,0,Matches
94,Aylton Boa Morte,pt POR,MF,Kayserispor,30,1993,13.2,5,0,0,28,15,6,28,5,7,,,0,Matches
95,Emmanuel Boateng,gh GHA,MF,Konyaspor,27,1997,3.9,1,1,0,11,7,0,0,5,4,,,0,Matches
96,Emmanuel Boateng,gh GHA,"FW,MF",Gaziantep FK,28,1996,9.8,3,0,0,13,23,9,3,2,2,,,0,Matches
97,Malcom Bokélé,cm CMR,DF,Göztepe,24,2000,27.7,5,0,0,27,25,1,13,41,11,,,1,Matches
98,Marc Bola,eng ENG,DF,Samsunspor,26,1997,30.5,4,0,0,17,24,4,99,59,31,,,0,Matches
99,Sinan Bolat,tr TUR,GK,Kasımpaşa,35,1988,2.0,1,0,0,0,0,0,0,1,0,,,1,Matches
