rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
1,Saminu Abdullahi,ng NGA,MF,FC Juárez,23,2001,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2,José Abella,mx MEX,DF,Santos,30,1994,16.8,0,5,2,40.0,0.30,0.12,0.00,0.00,23.9,2,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
3,José Abella,mx MEX,DF,FC Juárez,30,1994,11.3,0,3,1,33.3,0.27,0.09,0.00,0.00,19.9,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
4,Diego Abitia,mx MEX,FW,Atlético,21,2003,3.6,0,5,1,20.0,1.41,0.28,0.00,0.00,9.7,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
5,Carlos Acevedo,mx MEX,GK,Santos,28,1996,33.0,0,1,0,0.0,0.03,0.00,0.00,,61.7,1,0,0,0.0,0.0,0.01,0.0,0.0,Matches
6,Alonso Aceves,mx MEX,DF,Pachuca,23,2001,14.8,0,11,4,36.4,0.74,0.27,0.00,0.00,22.6,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
7,Gilberto Adame,mx MEX,"DF,MF",Mazatlán,19,2004,4.6,0,5,1,20.0,1.08,0.22,0.00,0.00,24.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
8,Sergio Aguayo,us USA,FW,Pachuca,21,2002,1.8,1,7,2,28.6,3.89,1.11,0.14,0.50,13.3,0,0,0,0.6,0.6,0.09,+0.4,+0.4,Matches
9,Eduardo Águila,mx MEX,DF,Atlético,22,2002,30.0,0,18,5,27.8,0.60,0.17,0.00,0.00,16.1,0,0,0,1.1,1.1,0.06,-1.1,-1.1,Matches
10,Eduardo Aguirre,mx MEX,"FW,MF",Atlas,25,1998,24.4,8,59,21,35.6,2.42,0.86,0.14,0.38,17.5,1,0,0,6.7,6.7,0.11,+1.3,+1.3,Matches
11,Érick Aguirre,mx MEX,DF,Monterrey,27,1997,10.4,0,3,1,33.3,0.29,0.10,0.00,0.00,14.0,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
12,Gaddi Aguirre,mx MEX,DF,Atlas,28,1996,11.7,0,8,1,12.5,0.68,0.09,0.00,0.00,18.0,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
13,Rodrigo Aguirre,uy URU,"FW,MF",América,29,1994,9.8,8,35,19,54.3,3.58,1.94,0.23,0.42,14.7,0,0,0,4.3,4.3,0.12,+3.7,+3.7,Matches
14,Jorge Agustín Rodríguez,ar ARG,"MF,DF",Monterrey,28,1995,26.5,1,17,2,11.8,0.64,0.08,0.06,0.50,24.9,0,0,0,0.5,0.5,0.03,+0.5,+0.5,Matches
15,Arnaud Ake,ci CIV,FW,Querétaro,26,1998,2.6,0,1,0,0.0,0.38,0.00,0.00,,10.4,0,0,0,0.1,0.1,0.14,-0.1,-0.1,Matches
16,Jesús Alberto Angulo,mx MEX,DF,UANL,26,1998,26.3,0,8,3,37.5,0.30,0.11,0.00,0.00,28.9,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
17,Gil Alcalá,mx MEX,GK,UNAM,32,1992,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
18,Jesús Alcantar,mx MEX,DF,Necaxa,21,2003,6.8,0,4,0,0.0,0.59,0.00,0.00,,17.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
19,Jordy Alcivar,ec ECU,"MF,FW",León,24,1999,4.4,0,5,3,60.0,1.14,0.68,0.00,0.00,29.2,3,0,0,0.5,0.5,0.10,-0.5,-0.5,Matches
20,Luis Alfonso Rodríguez,mx MEX,DF,Pachuca,33,1991,15.3,0,10,1,10.0,0.65,0.07,0.00,0.00,29.5,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
21,Guillermo Allison,mx MEX,GK,Querétaro,33,1990,25.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
22,Facundo Almada,ar ARG,DF,Mazatlán,26,1998,19.5,1,11,5,45.5,0.56,0.26,0.09,0.20,8.9,0,0,0,2.4,2.4,0.22,-1.4,-1.4,Matches
23,Carlos Alonso Vargas,mx MEX,"DF,FW",Cruz Azul,25,1999,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
24,Alfonso Alvarado,mx MEX,"FW,MF",Monterrey,24,2000,4.1,1,13,2,15.4,3.15,0.48,0.08,0.50,15.4,0,0,0,1.2,1.2,0.10,-0.2,-0.2,Matches
25,Alfonso Alvarado,mx MEX,"FW,MF",León,24,2000,8.4,3,23,8,34.8,2.73,0.95,0.13,0.38,19.5,0,0,0,1.9,1.9,0.08,+1.1,+1.1,Matches
