rk,player,nation,pos,squad,age,born,90s,ga,pka,fk,ck,og,psxg,psxg_sot,psxg_exp,90,cmp,att,cmp_launch,att_gk,thr,launch,avglen,att_goal_k,launch_goal_k,avglen_goal_k,opp,stp,stp_crosse,opa,opa_90,avgdist,matches
12,Benny Díaz,mx MEX,GK,FC Juárez,25,1998,11.0,26,5,0,2,0,21.9,0.28,-4.1,-0.38,47,141,33.3,299,55,28.8,30.4,103,53.4,44.1,174,8,4.6,19,1.73,16.2,Matches
13,José Eulogio,mx MEX,GK,Pachuca,20,2004,2.0,4,0,0,1,0,2.5,0.31,-1.5,-0.77,8,16,50.0,27,7,40.7,36.3,16,31.3,32.3,15,0,0.0,0,0.00,12.5,Matches
14,Carlos Felipe Rodríguez,mx MEX,GK,UANL,35,1989,3.0,1,0,0,1,0,1.6,0.16,+0.6,+0.19,6,23,26.1,56,12,28.6,29.2,19,36.8,32.5,41,1,2.4,1,0.33,12.3,Matches
15,Eduardo García,mx MEX,GK,Guadalajara,22,2002,2.0,3,0,0,1,0,2.0,0.22,-1.0,-0.52,9,22,40.9,46,7,30.4,32.8,19,42.1,41.9,35,2,5.7,1,0.50,10.8,Matches
16,Hugo González Durán,mx MEX,GK,Mazatlán,33,1990,33.5,45,6,1,5,1,42.6,0.26,-1.4,-0.04,187,466,40.1,826,155,38.0,36.2,287,53.0,44.2,478,27,5.6,30,0.90,14.3,Matches
17,Andrés Gudiño,mx MEX,GK,Cruz Azul,27,1997,1.0,1,0,0,0,0,0.5,0.18,-0.5,-0.45,2,3,66.7,32,4,6.3,19.1,5,20.0,21.0,5,0,0.0,0,0.00,7.0,Matches
18,Ricardo Gutiérrez,mx MEX,GK,Mazatlán,27,1997,0.5,0,0,0,0,0,0.7,0.14,+0.7,+1.40,2,5,40.0,12,1,33.3,32.2,3,33.3,34.3,4,0,0.0,0,0.00,10.0,Matches
19,Nahuel Guzmán,ar ARG,GK,UANL,38,1986,28.0,26,4,1,1,0,30.1,0.26,+4.1,+0.14,154,313,49.2,847,94,29.4,32.2,184,34.8,35.8,315,16,5.1,41,1.46,16.6,Matches
20,Jorge Hernández,mx MEX,GK,Querétaro,25,1998,9.0,13,1,0,2,0,12.8,0.30,-0.2,-0.02,31,125,24.8,137,21,56.9,46.1,85,55.3,48.4,190,4,2.1,0,0.00,8.7,Matches
21,Héctor Holguín,mx MEX,GK,Santos,23,2001,1.0,1,1,0,0,0,1.6,0.14,+0.6,+0.62,2,7,28.6,36,5,8.3,21.9,10,40.0,38.6,22,0,0.0,0,0.00,11.3,Matches
22,Oscar Jiménez,mx MEX,GK,León,35,1988,8.0,11,0,0,0,0,10.6,0.26,-0.4,-0.05,43,101,42.6,196,37,29.6,32.8,69,62.3,47.8,95,8,8.4,5,0.63,13.0,Matches
23,Miguel Jiménez Ponce,mx MEX,GK,Puebla,34,1990,24.0,40,3,2,9,1,36.5,0.28,-2.5,-0.11,125,439,28.5,414,61,53.9,42.3,255,84.7,61.6,478,17,3.6,9,0.38,10.6,Matches
24,Julio José González,mx MEX,GK,UNAM,33,1991,13.0,11,2,0,1,1,10.8,0.20,+0.8,+0.06,62,178,34.8,319,62,35.1,33.4,113,58.4,48.2,143,6,4.2,30,2.31,18.5,Matches
25,Julio José González,mx MEX,GK,Puebla,33,1991,6.0,8,1,1,0,0,6.1,0.20,-1.9,-0.32,25,71,35.2,111,25,34.2,38.1,69,47.8,41.7,83,3,3.6,5,0.83,14.8,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
26,Sebastián Jurado,mx MEX,GK,FC Juárez,26,1997,21.0,30,2,0,3,1,27.2,0.29,-1.8,-0.08,69,258,26.7,578,64,32.5,33.4,120,58.3,47.0,263,11,4.2,13,0.62,13.4,Matches
27,Pablo Lara,mx MEX,GK,UNAM,19,2005,7.0,9,0,0,0,1,7.5,0.24,-0.5,-0.08,35,97,36.1,173,24,41.6,38.0,57,43.9,41.0,70,5,7.1,19,2.71,18.0,Matches
28,Cesar López,mx MEX,GK,Atlético,24,2000,4.8,7,0,1,1,0,5.4,0.26,-1.6,-0.34,17,64,26.6,152,21,30.9,34.6,46,37.0,39.2,61,1,1.6,14,2.89,15.6,Matches
29,Pau López,es ESP,GK,Toluca,29,1994,10.0,13,0,0,0,1,8.9,0.24,-3.1,-0.31,29,88,33.0,354,39,17.2,26.9,78,34.6,36.8,106,4,3.8,13,1.30,15.9,Matches
30,Luis Manuel García,mx MEX,GK,Toluca,31,1992,5.0,6,0,1,1,0,4.6,0.31,-1.4,-0.28,17,53,32.1,134,17,31.3,33.9,27,40.7,38.5,64,3,4.7,2,0.40,11.9,Matches
31,Kevin Mier,co COL,GK,Cruz Azul,24,2000,33.0,27,3,0,6,1,25.2,0.25,-0.8,-0.02,115,285,40.4,1254,98,15.9,26.4,217,39.2,36.3,373,14,3.8,43,1.30,15.7,Matches
32,Carlos Moreno,mx MEX,GK,Pachuca,26,1998,32.0,48,4,0,8,0,38.4,0.25,-9.6,-0.30,180,373,48.3,646,177,34.8,35.1,276,53.6,44.5,405,27,6.7,42,1.31,14.8,Matches
33,Miguel Ortega,mx MEX,GK,Tijuana,29,1995,3.0,6,1,0,0,0,5.8,0.39,-0.2,-0.06,14,31,45.2,107,10,24.3,29.5,12,41.7,41.0,32,2,6.3,4,1.33,14.2,Matches
34,Alex Padilla,es ESP,GK,UNAM,20,2003,10.0,17,1,1,1,0,13.5,0.33,-3.5,-0.35,48,131,36.6,264,40,36.4,36.5,67,52.2,46.7,124,9,7.3,6,0.60,12.2,Matches
35,José Rangel Aguilar,mx MEX,GK,Guadalajara,24,2000,32.0,32,1,0,4,1,32.4,0.25,+1.4,+0.04,147,391,37.6,919,150,29.2,32.6,215,57.2,48.0,383,32,8.4,36,1.13,14.9,Matches
36,Jesús Rodríguez,mx MEX,GK,Puebla,31,1993,4.0,8,0,0,1,0,8.0,0.40,0.0,+0.01,21,41,51.2,123,18,22.8,29.6,38,34.2,37.6,48,4,8.3,4,1.00,14.3,Matches
37,Andrés Sánchez,mx MEX,GK,Atlético,26,1997,29.2,45,1,0,7,0,40.5,0.30,-4.5,-0.16,92,272,33.8,866,135,20.7,29.0,269,34.6,34.8,398,23,5.8,49,1.68,16.4,Matches
38,José Santiago Hernández,mx MEX,GK,Atlas,27,1997,3.0,3,1,0,0,0,2.5,0.25,-0.5,-0.18,10,27,37.0,66,9,33.3,32.4,14,35.7,36.9,24,1,4.2,2,0.67,17.8,Matches
39,Fernando Tapia,mx MEX,GK,UANL,23,2001,3.0,2,0,0,0,0,3.0,0.19,+1.0,+0.34,12,35,34.3,68,14,26.5,32.6,36,47.2,43.9,52,2,3.8,5,1.67,18.9,Matches
40,Ezequiel Unsain,ar ARG,GK,Necaxa,29,1995,34.0,55,5,0,3,0,52.0,0.30,-3.0,-0.09,203,551,36.8,859,115,42.5,38.4,287,64.8,51.7,531,33,6.2,29,0.85,13.8,Matches
41,Camilo Vargas,co COL,GK,Atlas,35,1989,31.0,52,3,1,3,1,42.3,0.26,-8.7,-0.28,126,404,31.2,866,137,33.1,33.4,249,47.0,41.6,429,11,2.6,32,1.03,15.5,Matches
42,Tiago Volpi,br BRA,GK,Toluca,33,1990,19.0,19,1,0,1,0,24.3,0.27,+5.3,+0.28,107,249,43.0,643,66,27.8,33.6,125,56.0,49.7,259,18,6.9,23,1.21,14.6,Matches
