squad,pl,age,poss,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90
Ath Paranaense,41,25.4,53.8,38,418,3420,38.0,38,27,65,38,0,1,80,3,45.6,44.8,32.6,77.4,578,1622,1.0,0.71,1.71,1.0,1.71,1.2,0.86,2.06,1.18,2.04
Atl Goianiense,35,24.9,46.8,38,418,3420,38.0,39,31,70,35,4,4,77,5,44.3,41.1,34.2,75.3,668,1424,1.03,0.82,1.84,0.92,1.74,1.17,0.9,2.07,1.08,1.98
Atlético Mineiro,34,25.8,60.6,38,418,3420,38.0,60,42,102,52,8,13,64,3,68.5,58.2,45.5,103.7,695,2219,1.58,1.11,2.68,1.37,2.47,1.8,1.2,3.0,1.53,2.73
Bahia,39,27.3,46.8,38,418,3420,38.0,48,35,83,43,5,8,84,6,55.9,49.6,38.7,88.3,691,1506,1.26,0.92,2.18,1.13,2.05,1.47,1.02,2.49,1.3,2.32
Botafogo (RJ),45,24.9,47.8,38,418,3420,38.0,32,17,49,26,6,7,72,6,51.3,45.8,34.1,79.9,604,1427,0.84,0.45,1.29,0.68,1.13,1.35,0.9,2.25,1.21,2.1
Ceará,34,27.9,43.6,38,418,3420,38.0,52,37,89,46,6,7,93,7,51.8,46.4,36.4,82.8,574,1344,1.37,0.97,2.34,1.21,2.18,1.36,0.96,2.32,1.22,2.18
Corinthians,36,27.6,49.9,38,418,3420,38.0,44,34,78,40,4,5,85,8,44.1,40.2,31.6,71.8,606,1639,1.16,0.89,2.05,1.05,1.95,1.16,0.83,1.99,1.06,1.89
Coritiba,47,26.7,46.6,38,418,3420,38.0,31,21,52,26,5,6,87,8,37.9,33.3,27.2,60.5,566,1286,0.82,0.55,1.37,0.68,1.24,1.0,0.71,1.71,0.88,1.59
Flamengo,38,26.6,60.3,38,418,3420,38.0,67,50,117,60,7,10,88,3,78.3,71.4,57.8,129.1,917,2171,1.76,1.32,3.08,1.58,2.89,2.06,1.52,3.58,1.88,3.4
Fluminense,37,26.8,48.7,38,418,3420,38.0,52,34,86,46,6,7,85,4,41.3,35.9,27.9,63.8,545,1349,1.37,0.89,2.26,1.21,2.11,1.09,0.73,1.82,0.94,1.68
Fortaleza,31,28.9,49.8,38,418,3420,38.0,33,24,57,28,5,8,83,8,43.2,37.4,30.8,68.2,598,1396,0.87,0.63,1.5,0.74,1.37,1.14,0.81,1.95,0.98,1.79
Goiás,49,26.0,42.4,38,418,3420,38.0,39,21,60,35,4,5,114,4,39.5,35.5,25.1,60.6,491,1099,1.03,0.55,1.58,0.92,1.47,1.04,0.66,1.7,0.94,1.59
Grêmio,37,27.8,52.4,38,418,3420,38.0,51,35,86,46,5,7,81,8,54.3,48.8,39.6,88.4,743,1598,1.34,0.92,2.26,1.21,2.13,1.43,1.04,2.47,1.28,2.33
Internacional,39,27.1,49.4,38,418,3420,38.0,59,40,99,50,9,10,91,8,55.3,47.4,35.4,82.8,663,1391,1.55,1.05,2.61,1.32,2.37,1.45,0.93,2.39,1.25,2.18
Palmeiras,36,26.4,52.1,38,418,3420,38.0,51,33,84,46,5,7,92,5,52.6,47.5,37.1,84.6,609,1606,1.34,0.87,2.21,1.21,2.08,1.38,0.98,2.36,1.25,2.23
RB Bragantino,35,25.3,49.4,38,418,3420,38.0,50,35,85,46,4,8,73,4,53.3,47.1,36.6,83.7,730,1701,1.32,0.92,2.24,1.21,2.13,1.4,0.96,2.36,1.24,2.2
Santos,40,24.6,50.7,38,418,3420,38.0,49,32,81,38,11,13,82,5,50.9,40.9,32.3,73.2,638,1346,1.29,0.84,2.13,1.0,1.84,1.34,0.85,2.19,1.08,1.93
São Paulo,28,26.5,57.2,38,418,3420,38.0,59,36,95,53,6,7,90,2,54.3,48.9,36.2,85.1,701,1692,1.55,0.95,2.5,1.39,2.34,1.43,0.95,2.38,1.29,2.24
Sport Recife,38,27.0,45.0,38,418,3420,38.0,31,18,49,23,8,8,88,4,34.7,28.6,21.2,49.8,569,1347,0.82,0.47,1.29,0.61,1.08,0.91,0.56,1.47,0.75,1.31
Vasco da Gama,34,26.2,46.6,38,418,3420,38.0,37,20,57,34,3,4,87,6,41.1,38.0,26.8,64.7,660,1295,0.97,0.53,1.5,0.89,1.42,1.08,0.7,1.79,1.0,1.7
