rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
1,Dirk Abels,nl NED,DF,Sparta R'dam,22,1997,20.5,0,9,2,22.2,0.44,0.10,0.00,0.00,20.4,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
2,Abdallah Aberkane,nl NED,DF,Sparta R'dam,19,2000,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
3,Nassim El Ablak,nl NED,MF,Fortuna Sittard,19,2000,0.7,0,2,0,0.0,3.05,0.00,0.00,,18.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
4,Zakaria Aboukhlal,ma MAR,"FW,MF",AZ Alkmaar,19,2000,2.2,0,11,2,18.2,4.95,0.90,0.00,0.00,15.3,0,0,0,1.5,1.5,0.13,-1.5,-1.5,Matches
5,Zakaria Aboukhlal,ma MAR,FW,PSV Eindhoven,19,2000,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
6,Amir Absalem,nl NED,DF,Groningen,22,1997,3.9,0,4,0,0.0,1.02,0.00,0.00,,22.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
7,Giorgi Aburjania,ge GEO,MF,Twente,24,1995,7.3,2,6,2,33.3,0.83,0.28,0.33,1.00,22.3,1,0,0,0.8,0.8,0.14,+1.2,+1.2,Matches
8,Ragnar Ache,de GER,FW,Sparta R'dam,21,1998,16.3,5,27,8,29.6,1.65,0.49,0.19,0.63,12.6,0,0,0,6.0,6.0,0.22,-1.0,-1.0,Matches
9,Luka Adžić,rs SRB,FW,Emmen,20,1998,1.8,1,8,2,25.0,4.50,1.13,0.13,0.50,15.8,0,0,0,0.9,0.9,0.12,+0.1,+0.1,Matches
10,Ibrahim Afellay,nl NED,MF,PSV Eindhoven,33,1986,1.2,0,5,2,40.0,4.21,1.68,0.00,0.00,26.9,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
11,Hamdi Akujobi,nl NED,"FW,MF",Heerenveen,19,2000,0.4,0,1,1,100.0,2.31,2.31,0.00,0.00,11.9,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
12,Edson Álvarez,mx MEX,"MF,DF",Ajax,21,1997,6.2,0,6,1,16.7,0.96,0.16,0.00,0.00,14.4,0,0,0,1.1,1.1,0.19,-1.1,-1.1,Matches
13,Gregoire Amiot,fr FRA,DF,Fortuna Sittard,24,1995,6.5,0,3,0,0.0,0.46,0.00,0.00,,10.2,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
14,Martin Angha,ch SUI,DF,Fortuna Sittard,25,1994,13.7,1,9,1,11.1,0.65,0.07,0.11,1.00,16.2,0,0,0,0.6,0.6,0.07,+0.4,+0.4,Matches
15,Miguel Araujo,pe PER,DF,Emmen,24,1994,12.0,1,14,4,28.6,1.17,0.33,0.07,0.25,13.1,0,0,0,0.9,0.9,0.07,+0.1,+0.1,Matches
16,Jafar Arias,cw CUW,FW,Emmen,24,1995,9.0,0,23,3,13.0,2.55,0.33,0.00,0.00,19.9,1,0,0,2.1,2.1,0.09,-2.1,-2.1,Matches
17,Jonas Arweiler,de GER,"FW,DF",Utrecht,22,1997,0.6,1,2,1,50.0,3.16,1.58,0.50,1.00,9.9,0,0,0,0.2,0.2,0.10,+0.8,+0.8,Matches
18,Joel Asoro,se SWE,"FW,MF",Groningen,20,1999,13.1,3,37,10,27.0,2.82,0.76,0.08,0.30,14.0,1,0,0,6.1,6.1,0.17,-3.1,-3.1,Matches
19,Adil Auassar,nl NED,MF,Sparta R'dam,32,1986,20.0,2,18,3,16.7,0.90,0.15,0.11,0.67,20.5,2,0,0,1.0,1.0,0.06,+1.0,+1.0,Matches
20,Yassin Ayoub,nl NED,MF,Feyenoord,25,1994,0.5,0,1,0,0.0,1.91,0.00,0.00,,20.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
21,Marouan Azarkan,nl NED,FW,Feyenoord,17,2001,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
22,Ryan Babel,nl NED,FW,Ajax,32,1986,4.3,0,11,3,27.3,2.58,0.70,0.00,0.00,18.3,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Matches
23,Nikolai Baden Frederiksen,dk DEN,"FW,MF",Fortuna Sittard,19,2000,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
24,Jean-Christophe Bahebeck,fr FRA,FW,Utrecht,26,1993,6.5,3,29,6,20.7,4.46,0.92,0.07,0.33,18.5,4,1,1,3.2,2.4,0.08,-0.2,-0.4,Matches
25,Destan Bajselmani,xk KVX,DF,Zwolle,20,1999,2.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
26,Saïd Bakari,km COM,"DF,FW",RKC Waalwijk,24,1994,14.1,1,10,3,30.0,0.71,0.21,0.10,0.33,19.5,0,0,0,0.8,0.8,0.08,+0.2,+0.2,Matches
27,Navajo Bakboord,nl NED,DF,Heracles Almelo,20,1999,9.0,0,4,0,0.0,0.44,0.00,0.00,,19.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
28,Danny Bakker,nl NED,MF,ADO Den Haag,24,1995,16.5,0,12,3,25.0,0.73,0.18,0.00,0.00,17.2,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
29,Nick Bakker,nl NED,DF,Emmen,27,1992,7.0,1,2,1,50.0,0.29,0.14,0.50,1.00,11.1,0,0,0,0.2,0.2,0.12,+0.8,+0.8,Matches
30,Tudor Băluță,ro ROU,MF,ADO Den Haag,20,1999,3.9,0,1,0,0.0,0.25,0.00,0.00,,30.9,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
31,Naoufal Bannis,nl NED,"FW,MF",Feyenoord,17,2002,0.7,0,3,0,0.0,4.29,0.00,0.00,,8.5,0,0,0,0.5,0.5,0.17,-0.5,-0.5,Matches
32,Aaron Bastiaans,nl NED,FW,VVV-Venlo,17,2002,0.2,1,1,1,100.0,5.29,5.29,1.00,1.00,4.4,0,0,0,0.2,0.2,0.20,+0.8,+0.8,Matches
33,Timo Baumgartl,de GER,DF,PSV Eindhoven,23,1996,12.1,1,6,2,33.3,0.49,0.16,0.17,0.50,14.4,0,0,0,0.3,0.3,0.05,+0.7,+0.7,Matches
34,Riechedly Bazoer,cw CUW,MF,Vitesse,22,1996,19.1,3,48,11,22.9,2.52,0.58,0.06,0.27,24.6,6,0,0,2.4,2.4,0.05,+0.6,+0.6,Matches
35,Filip Bednarek,pl POL,GK,Heerenveen,26,1992,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
36,Donny van de Beek,nl NED,MF,Ajax,22,1997,21.3,8,44,16,36.4,2.07,0.75,0.18,0.50,13.7,0,0,0,5.5,5.5,0.13,+2.5,+2.5,Matches
37,Sven van Beek,nl NED,FW,Feyenoord,25,1994,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
38,Iliass Bel Hassani,ma MAR,"FW,MF",Zwolle,26,1992,10.8,5,20,12,60.0,1.85,1.11,0.25,0.42,18.8,1,0,0,2.5,2.5,0.13,+2.5,+2.5,Matches
39,Hilal Ben Moussa,nl NED,MF,Emmen,27,1992,5.7,0,4,0,0.0,0.71,0.00,0.00,,29.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
40,Charlison Benschop,cw CUW,FW,Groningen,29,1989,9.5,3,16,5,31.3,1.69,0.53,0.06,0.20,22.6,0,2,2,3.1,1.5,0.10,-0.1,-0.5,Matches
41,Mitchell van Bergen,nl NED,"FW,MF",Heerenveen,19,1999,24.8,5,63,26,41.3,2.54,1.05,0.08,0.19,19.2,0,0,0,5.4,5.4,0.09,-0.4,-0.4,Matches
42,Emil Berggreen,dk DEN,FW,Twente,26,1993,4.0,1,7,3,42.9,1.75,0.75,0.14,0.33,11.3,0,0,0,0.6,0.6,0.09,+0.4,+0.4,Matches
43,Steven Berghuis,nl NED,FW,Feyenoord,27,1991,23.4,15,82,37,45.1,3.50,1.58,0.10,0.22,22.9,6,7,7,14.1,8.6,0.10,+0.9,-0.6,Matches
44,Emil Bergström,se SWE,DF,Utrecht,26,1993,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
45,Steven Bergwijn,nl NED,"FW,MF",PSV Eindhoven,21,1997,14.8,5,35,16,45.7,2.36,1.08,0.11,0.25,18.3,0,1,1,4.3,3.5,0.10,+0.7,+0.5,Matches
46,Matúš Bero,sk SVK,MF,Vitesse,23,1995,20.7,3,17,4,23.5,0.82,0.19,0.12,0.50,20.1,0,1,1,2.0,1.2,0.07,+1.0,+0.8,Matches
47,Jan-Niklas Beste,de GER,DF,Emmen,20,1999,4.5,0,1,1,100.0,0.22,0.22,0.00,0.00,24.8,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
48,Tom Beugelsdijk,nl NED,DF,ADO Den Haag,28,1990,17.9,1,11,2,18.2,0.61,0.11,0.09,0.50,18.4,0,0,0,1.7,1.7,0.15,-0.7,-0.7,Matches
49,Peet Bijen,nl NED,DF,Twente,24,1995,18.9,1,7,2,28.6,0.37,0.11,0.14,0.50,11.3,0,0,0,0.5,0.5,0.08,+0.5,+0.5,Matches
50,Glenn Bijl,nl NED,DF,Emmen,24,1995,23.9,1,28,3,10.7,1.17,0.13,0.04,0.33,25.1,5,0,0,2.1,2.1,0.07,-1.1,-1.1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
51,Teun Bijleveld,nl NED,"MF,FW",Heracles Almelo,21,1998,2.5,0,5,1,20.0,2.01,0.40,0.00,0.00,18.3,0,0,0,0.6,0.6,0.12,-0.6,-0.6,Matches
52,Justin Bijlow,nl NED,GK,Feyenoord,21,1998,7.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
53,Mario Bilate,nl NED,FW,RKC Waalwijk,28,1991,13.9,0,31,7,22.6,2.22,0.50,0.00,0.00,16.8,0,0,0,2.8,2.8,0.09,-2.8,-2.8,Matches
54,Marco Bizot,nl NED,GK,AZ Alkmaar,28,1991,23.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
55,Aleksandar Bjelica,rs SRB,DF,ADO Den Haag,25,1994,0.6,0,1,0,0.0,1.80,0.00,0.00,,24.8,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
56,Janis Blaswich,de GER,GK,Heracles Almelo,28,1991,26.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
57,Daley Blind,nl NED,"DF,MF",Ajax,29,1990,19.4,0,20,4,20.0,1.03,0.21,0.00,0.00,22.3,0,0,0,1.2,1.2,0.06,-1.2,-1.2,Matches
58,Myron Boadu,nl NED,FW,AZ Alkmaar,18,2001,22.3,14,60,30,50.0,2.69,1.34,0.23,0.47,10.5,0,0,0,15.8,15.8,0.27,-1.8,-1.8,Matches
59,Rody de Boer,nl NED,GK,AZ Alkmaar,21,1997,1.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
60,Tom Boere,nl NED,MF,Twente,26,1992,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
61,Omar Bogle,eng ENG,FW,ADO Den Haag,26,1993,3.7,1,6,3,50.0,1.63,0.81,0.17,0.33,18.1,0,0,0,1.6,1.6,0.27,-0.6,-0.6,Matches
62,Henk Bos,nl NED,"MF,FW",Emmen,26,1992,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
